"id","host_response_rate","host_response_time","host_is_superhost","neighbourhood_group_cleansed","property_type","room_type","accommodates","bathrooms","bedrooms","bed_type","price","weekly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","has_availability","last_review","review_scores_rating","instant_bookable","cancellation_policy","profit","days_listed"
"752483","100%","within a few hours",TRUE,"Capitol Hill","Townhouse","Entire home/apt",4,2,2,"Real Bed","225.00","$1,600.00","$500.00","$125.00",4,"$0.00",1,TRUE,2020-03-15,97,FALSE,"moderate",25054,167
"757840","100%","within an hour",TRUE,"Queen Anne","House","Entire home/apt",10,2.5,4,"Real Bed","300.00",NA,"$500.00","$100.00",8,"$25.00",2,TRUE,2020-06-08,99,TRUE,"moderate",20810,52
"760471","100%","within an hour",FALSE,"West Seattle","House","Entire home/apt",2,2,1,"Real Bed","87.00",NA,"$500.00","$125.00",2,"$50.00",30,TRUE,2020-05-31,96,FALSE,"strict_14_with_grace_period",6525,75
"793629","100%","within an hour",TRUE,"Beacon Hill","House","Entire home/apt",2,1,1,"Real Bed","105.00","$615.00","$200.00","$65.00",1,"$0.00",2,TRUE,2020-03-18,97,FALSE,"moderate",18015,167
"808134","100%","within an hour",TRUE,"Downtown","Condominium","Entire home/apt",6,2,2,"Real Bed","84.00",NA,"$500.00","$130.00",6,"$100.00",2,TRUE,2020-06-09,97,FALSE,"strict_14_with_grace_period",17195,44
"841274","100%","within a day",TRUE,"Rainier Valley","Apartment","Entire home/apt",4,1,1,"Real Bed","82.00","$500.00","$0.00","$60.00",2,"$20.00",3,TRUE,2020-03-17,97,FALSE,"strict_14_with_grace_period",8936,96
"844939","100%","within an hour",TRUE,"Downtown","Condominium","Entire home/apt",4,1,1,"Real Bed","115.00",NA,"$0.00","$115.00",1,"$0.00",30,TRUE,2020-04-04,97,TRUE,"strict_14_with_grace_period",36327,167
"846763","100%","within a few hours",TRUE,"Other neighborhoods","House","Private room",2,1,1,"Real Bed","42.00",NA,"$200.00","$50.00",1,"$17.00",30,TRUE,2020-03-04,96,FALSE,"strict_14_with_grace_period",5171,123
"877203","100%","within an hour",FALSE,"Central Area","House","Private room",2,1.5,1,"Real Bed","50.00","$350.00","$0.00","$50.00",1,"$30.00",1,TRUE,2020-04-01,94,FALSE,"flexible",2330,44
"879181","100%","within an hour",FALSE,"Central Area","House","Private room",2,1.5,1,"Real Bed","50.00","$370.00","$100.00","$50.00",1,"$30.00",30,TRUE,2020-01-20,96,TRUE,"flexible",1750,33
